(2016-10-28 20:11:04) The max compare is  with 0 points
(2016-10-28 20:11:08) The max compare is U with 0 points
(2016-10-28 20:11:08) The max compare is b with 0 points
(2016-10-28 20:11:08) The max compare is N with 0 points
(2016-10-28 20:11:08) The max compare is D with 0 points
(2016-10-28 20:11:08) The max compare is Y with 0 points
(2016-10-28 20:11:08) The max compare is o with 0 points
(2016-10-28 20:11:08) The max compare is t with 0 points
(2016-10-28 20:11:08) The max compare is c with 0 points
(2016-10-28 20:11:08) The max compare is X with 0 points
(2016-10-28 20:11:08) The max compare is S with 0 points
(2016-10-28 20:11:08) The max compare is x with 0 points
(2016-10-28 20:11:08) The max compare is U with 0 points
(2016-10-28 20:11:08) The max compare is X with 0 points
(2016-10-28 20:11:08) The max compare is I with 0 points
(2016-10-28 20:11:08) The max compare is T with 1 points
(2016-10-28 20:11:08) The max compare is U with 0 points
(2016-10-28 20:11:09) The max compare is c with 0 points
(2016-10-28 20:11:09) The max compare is N with 0 points
(2016-10-28 20:11:09) The max compare is K with 0 points
(2016-10-28 20:11:09) The max compare is I with 0 points
(2016-10-28 20:11:09) The max compare is r with 0 points
(2016-10-28 20:11:09) The max compare is z with 0 points
(2016-10-28 20:11:09) The max compare is C with 0 points
(2016-10-28 20:11:09) The max compare is a with 0 points
(2016-10-28 20:11:09) The max compare is N with 0 points
(2016-10-28 20:11:09) The max compare is n with 0 points
(2016-10-28 20:11:09) The max compare is O with 0 points
(2016-10-28 20:11:09) The max compare is d with 0 points
(2016-10-28 20:11:09) The max compare is I with 0 points
(2016-10-28 20:11:09) The max compare is n with 0 points
(2016-10-28 20:11:09) The max compare is z with 0 points
(2016-10-28 20:11:09) The max compare is l with 0 points
(2016-10-28 20:11:09) The max compare is h with 0 points
(2016-10-28 20:11:09) The max compare is G with 0 points
(2016-10-28 20:11:09) The max compare is v with 0 points
(2016-10-28 20:11:09) The max compare is Q with 0 points
(2016-10-28 20:11:09) The max compare is a with 0 points
(2016-10-28 20:11:09) The max compare is O with 0 points
(2016-10-28 20:11:09) The max compare is b with 0 points
(2016-10-28 20:11:09) The max compare is l with 0 points
(2016-10-28 20:11:09) The max compare is J with 0 points
(2016-10-28 20:11:09) The max compare is I with 0 points
(2016-10-28 20:11:09) The max compare is w with 0 points
(2016-10-28 20:11:09) The max compare is f with 0 points
(2016-10-28 20:11:09) The max compare is c with 0 points
(2016-10-28 20:11:09) The max compare is n with 0 points
(2016-10-28 20:11:09) The max compare is l with 0 points
(2016-10-28 20:11:09) The max compare is K with 0 points
(2016-10-28 20:11:09) The max compare is T with 1 points
(2016-10-28 20:11:10) The max compare is h with 0 points
(2016-10-28 20:11:10) The max compare is B with 0 points
(2016-10-28 20:11:10) The max compare is x with 0 points
(2016-10-28 20:11:10) The max compare is P with 0 points
(2016-10-28 20:11:10) The max compare is o with 0 points
(2016-10-28 20:11:10) The max compare is h with 0 points
(2016-10-28 20:11:10) The max compare is Y with 0 points
(2016-10-28 20:11:10) The max compare is j with 0 points
(2016-10-28 20:11:10) The max compare is Y with 0 points
(2016-10-28 20:11:10) The max compare is I with 0 points
(2016-10-28 20:11:10) The max compare is k with 0 points
(2016-10-28 20:11:10) The max compare is V with 0 points
(2016-10-28 20:11:10) The max compare is N with 0 points
(2016-10-28 20:11:10) The max compare is v with 0 points
(2016-10-28 20:11:10) The max compare is H with 0 points
(2016-10-28 20:11:10) The max compare is Q with 0 points
(2016-10-28 20:11:10) The max compare is h with 0 points
(2016-10-28 20:11:10) The max compare is L with 0 points
(2016-10-28 20:11:10) The max compare is E with 0 points
(2016-10-28 20:11:10) The max compare is w with 0 points
(2016-10-28 20:11:10) The max compare is x with 0 points
(2016-10-28 20:11:10) The max compare is T with 1 points
(2016-10-28 20:11:10) The max compare is R with 0 points
(2016-10-28 20:11:10) The max compare is O with 0 points
(2016-10-28 20:11:10) The max compare is X with 0 points
(2016-10-28 20:11:10) The max compare is f with 0 points
(2016-10-28 20:11:10) The max compare is B with 0 points
(2016-10-28 20:11:10) The max compare is o with 0 points
(2016-10-28 20:11:10) The max compare is b with 0 points
(2016-10-28 20:11:10) The max compare is T with 1 points
(2016-10-28 20:11:10) The max compare is H with 0 points
(2016-10-28 20:11:10) The max compare is A with 0 points
(2016-10-28 20:11:11) The max compare is z with 0 points
(2016-10-28 20:11:11) The max compare is u with 0 points
(2016-10-28 20:11:11) The max compare is y with 0 points
(2016-10-28 20:11:11) The max compare is p with 0 points
(2016-10-28 20:11:11) The max compare is C with 0 points
(2016-10-28 20:11:11) The max compare is s with 0 points
(2016-10-28 20:11:11) The max compare is Q with 0 points
(2016-10-28 20:11:11) The max compare is B with 0 points
(2016-10-28 20:11:11) The max compare is a with 0 points
(2016-10-28 20:11:11) The max compare is A with 0 points
(2016-10-28 20:11:11) The max compare is J with 0 points
(2016-10-28 20:11:11) The max compare is   with 0 points
(2016-10-28 20:11:11) The max compare is n with 0 points
(2016-10-28 20:11:11) The max compare is u with 0 points
(2016-10-28 20:11:11) The max compare is p with 0 points
(2016-10-28 20:11:11) The max compare is l with 0 points
(2016-10-28 20:11:11) The max compare is j with 0 points
(2016-10-28 20:11:11) The max compare is g with 0 points
(2016-10-28 20:11:11) The max compare is r with 0 points
(2016-10-28 20:11:11) The max compare is h with 0 points
(2016-10-28 20:11:11) The max compare is x with 0 points
(2016-10-28 20:11:11) The max compare is Q with 0 points
(2016-10-28 20:11:11) The max compare is N with 0 points
(2016-10-28 20:11:11) The max compare is D with 0 points
(2016-10-28 20:11:11) The max compare is t with 0 points
(2016-10-28 20:11:11) The max compare is l with 0 points
(2016-10-28 20:11:11) The max compare is S with 0 points
(2016-10-28 20:11:11) The max compare is q with 0 points
(2016-10-28 20:11:11) The max compare is O with 0 points
(2016-10-28 20:11:11) The max compare is v with 0 points
(2016-10-28 20:11:11) The max compare is j with 0 points
(2016-10-28 20:11:11) The max compare is P with 0 points
(2016-10-28 20:11:11) The max compare is e with 0 points
(2016-10-28 20:11:12) The max compare is G with 0 points
(2016-10-28 20:11:12) The max compare is W with 0 points
(2016-10-28 20:11:12) The max compare is d with 0 points
(2016-10-28 20:11:12) The max compare is G with 0 points
(2016-10-28 20:11:12) The max compare is h with 0 points
